root,collection,style,name,rel,thumb,hash
CommonContent,Minimalism,,Minimalism Transition,Titler3/CommonContent/broadcast/Library/Project Templates/Minimalism/Minimalism Transition.nbtitle,thumbs/Titler3/CommonContent/broadcast/Library/Project Templates/Minimalism/Minimalism Transition.png,23359cfdef4583137c14a54f296f46a8
CommonContent,Minimalism,,Minimalism Two PiP with Lower Third,Titler3/CommonContent/broadcast/Library/Project Templates/Minimalism/Minimalism Two PiP with Lower Third.nbtitle,thumbs/Titler3/CommonContent/broadcast/Library/Project Templates/Minimalism/Minimalism Two PiP with Lower Third.png,7b5aad74bd1dc37ecb3b2ad135c5b330
CommonContent,Minimalism,,Minimalism Two PiP,Titler3/CommonContent/broadcast/Library/Project Templates/Minimalism/Minimalism Two PiP.nbtitle,thumbs/Titler3/CommonContent/broadcast/Library/Project Templates/Minimalism/Minimalism Two PiP.png,b7f014975700cc58d46372cc3f995bb5
CommonContent,Minimalism,Shot Elements,Minimalism Four PiP Bottom Left,Titler3/CommonContent/broadcast/Library/Project Templates/Minimalism/Shot Elements/Minimalism Four PiP Bottom Left.nbtitle,thumbs/Titler3/CommonContent/broadcast/Library/Project Templates/Minimalism/Shot Elements/Minimalism Four PiP Bottom Left.png,5f337412b24fc2a4d3763ff92ef0d56f
CommonContent,Minimalism,Shot Elements,Minimalism Four PiP Bottom Right,Titler3/CommonContent/broadcast/Library/Project Templates/Minimalism/Shot Elements/Minimalism Four PiP Bottom Right.nbtitle,thumbs/Titler3/CommonContent/broadcast/Library/Project Templates/Minimalism/Shot Elements/Minimalism Four PiP Bottom Right.png,9b4ce3995261f770a7a8eabb724478f1
CommonContent,Minimalism,Shot Elements,Minimalism Four PiP Top Left,Titler3/CommonContent/broadcast/Library/Project Templates/Minimalism/Shot Elements/Minimalism Four PiP Top Left.nbtitle,thumbs/Titler3/CommonContent/broadcast/Library/Project Templates/Minimalism/Shot Elements/Minimalism Four PiP Top Left.png,2afc2dfc2118399f3b446bad42546231
CommonContent,Minimalism,Shot Elements,Minimalism Four PiP Top Right,Titler3/CommonContent/broadcast/Library/Project Templates/Minimalism/Shot Elements/Minimalism Four PiP Top Right.nbtitle,thumbs/Titler3/CommonContent/broadcast/Library/Project Templates/Minimalism/Shot Elements/Minimalism Four PiP Top Right.png,8e75d3e9e48c77c385b91049c5173ae1
CommonContent,Minimalism,Shot Elements,Minimalism Three PiP Left,Titler3/CommonContent/broadcast/Library/Project Templates/Minimalism/Shot Elements/Minimalism Three PiP Left.nbtitle,thumbs/Titler3/CommonContent/broadcast/Library/Project Templates/Minimalism/Shot Elements/Minimalism Three PiP Left.png,7a8b0ef0240c7a9223460c57cdc33211
CommonContent,Minimalism,Shot Elements,Minimalism Three PiP Middle,Titler3/CommonContent/broadcast/Library/Project Templates/Minimalism/Shot Elements/Minimalism Three PiP Middle.nbtitle,thumbs/Titler3/CommonContent/broadcast/Library/Project Templates/Minimalism/Shot Elements/Minimalism Three PiP Middle.png,cdee0aacaafc1576e664b35d19d5501a
CommonContent,Minimalism,Shot Elements,Minimalism Three PiP Right,Titler3/CommonContent/broadcast/Library/Project Templates/Minimalism/Shot Elements/Minimalism Three PiP Right.nbtitle,thumbs/Titler3/CommonContent/broadcast/Library/Project Templates/Minimalism/Shot Elements/Minimalism Three PiP Right.png,7f2ba55a638a84d7afa1428d401a075d
CommonContent,Minimalism,Shot Elements,Minimalism Two PiP Left,Titler3/CommonContent/broadcast/Library/Project Templates/Minimalism/Shot Elements/Minimalism Two PiP Left.nbtitle,thumbs/Titler3/CommonContent/broadcast/Library/Project Templates/Minimalism/Shot Elements/Minimalism Two PiP Left.png,479f61ac636c5695d22ce7b1586568f4
CommonContent,Minimalism,Shot Elements,Minimalism Two PiP Right,Titler3/CommonContent/broadcast/Library/Project Templates/Minimalism/Shot Elements/Minimalism Two PiP Right.nbtitle,thumbs/Titler3/CommonContent/broadcast/Library/Project Templates/Minimalism/Shot Elements/Minimalism Two PiP Right.png,023d75b776083553a3afb65c76e01cf2
CommonContent,Architect,,Architect List,Titler3/CommonContent/common/Library/Project Templates/Architect/Architect List.nbtitle,thumbs/Titler3/CommonContent/common/Library/Project Templates/Architect/Architect List.png,567a00cf97b8e873f6dfc45a8f5d123b
CommonContent,Architect,,Architect Lower Image,Titler3/CommonContent/common/Library/Project Templates/Architect/Architect Lower Image.nbtitle,thumbs/Titler3/CommonContent/common/Library/Project Templates/Architect/Architect Lower Image.png,f1aff9375646c547f6f97eaf4980fdeb
CommonContent,Architect,,Architect Lower Third Single Line,Titler3/CommonContent/common/Library/Project Templates/Architect/Architect Lower Third Single Line.nbtitle,thumbs/Titler3/CommonContent/common/Library/Project Templates/Architect/Architect Lower Third Single Line.png,1630a5c13f1bcbfafc598c25144fcfb8
CommonContent,Architect,,Architect Lower Third,Titler3/CommonContent/common/Library/Project Templates/Architect/Architect Lower Third.nbtitle,thumbs/Titler3/CommonContent/common/Library/Project Templates/Architect/Architect Lower Third.png,d0bd0c4721ce26713e8aaac1576ea571
CommonContent,Architect,,Architect Main Title Full,Titler3/CommonContent/common/Library/Project Templates/Architect/Architect Main Title Full.nbtitle,thumbs/Titler3/CommonContent/common/Library/Project Templates/Architect/Architect Main Title Full.png,440d47bb2aa7496a443cb18d68a4c093
CommonContent,Architect,,Architect Main Title,Titler3/CommonContent/common/Library/Project Templates/Architect/Architect Main Title.nbtitle,thumbs/Titler3/CommonContent/common/Library/Project Templates/Architect/Architect Main Title.png,039b2c1130c890820baaba09c31c8111
CommonContent,Architect,,Architect Short List,Titler3/CommonContent/common/Library/Project Templates/Architect/Architect Short List.nbtitle,thumbs/Titler3/CommonContent/common/Library/Project Templates/Architect/Architect Short List.png,4e888d95b1e37a9dea6d2f0112346f7b
CommonContent,Camera Frames,,Basic Camera Frame,Titler3/CommonContent/common/Library/Project Templates/Camera Frames/Basic Camera Frame.nbtitle,thumbs/Titler3/CommonContent/common/Library/Project Templates/Camera Frames/Basic Camera Frame.png,d185a53f7eb2440114db35507c7c807b
CommonContent,Camera Frames,,Cobalt Camera Frame,Titler3/CommonContent/common/Library/Project Templates/Camera Frames/Cobalt Camera Frame.nbtitle,thumbs/Titler3/CommonContent/common/Library/Project Templates/Camera Frames/Cobalt Camera Frame.png,937f5771f653447517b2d8e104a6ea6f
CommonContent,Camera Frames,,Comic Camera Frame,Titler3/CommonContent/common/Library/Project Templates/Camera Frames/Comic Camera Frame.nbtitle,thumbs/Titler3/CommonContent/common/Library/Project Templates/Camera Frames/Comic Camera Frame.png,860722526355bc5ea6aed572198a68b9
CommonContent,Camera Frames,,Crafter Camera Frame,Titler3/CommonContent/common/Library/Project Templates/Camera Frames/Crafter Camera Frame.nbtitle,thumbs/Titler3/CommonContent/common/Library/Project Templates/Camera Frames/Crafter Camera Frame.png,e7625d758dff48c5b05b277521524984
CommonContent,Camera Frames,,Crimson Camera Frame,Titler3/CommonContent/common/Library/Project Templates/Camera Frames/Crimson Camera Frame.nbtitle,thumbs/Titler3/CommonContent/common/Library/Project Templates/Camera Frames/Crimson Camera Frame.png,831db0a561f3f7a356a42ea737fe06a7
CommonContent,Camera Frames,,Dark Ops Camera Frame,Titler3/CommonContent/common/Library/Project Templates/Camera Frames/Dark Ops Camera Frame.nbtitle,thumbs/Titler3/CommonContent/common/Library/Project Templates/Camera Frames/Dark Ops Camera Frame.png,a287b5e68148c74af4c2f0367198cee6
CommonContent,Camera Frames,,Dynamo Camera Frame,Titler3/CommonContent/common/Library/Project Templates/Camera Frames/Dynamo Camera Frame.nbtitle,thumbs/Titler3/CommonContent/common/Library/Project Templates/Camera Frames/Dynamo Camera Frame.png,12761f9045437c92154970b9ed941e94
CommonContent,Camera Frames,,EMP Camera Frame,Titler3/CommonContent/common/Library/Project Templates/Camera Frames/EMP Camera Frame.nbtitle,thumbs/Titler3/CommonContent/common/Library/Project Templates/Camera Frames/EMP Camera Frame.png,4ca1e90a96330774e75282a2d43ed33f
CommonContent,Camera Frames,,Fighter Camera Frame,Titler3/CommonContent/common/Library/Project Templates/Camera Frames/Fighter Camera Frame.nbtitle,thumbs/Titler3/CommonContent/common/Library/Project Templates/Camera Frames/Fighter Camera Frame.png,03657628212417977f887644dc67553c
CommonContent,Camera Frames,,Flourescent Camera Frame,Titler3/CommonContent/common/Library/Project Templates/Camera Frames/Flourescent Camera Frame.nbtitle,thumbs/Titler3/CommonContent/common/Library/Project Templates/Camera Frames/Flourescent Camera Frame.png,dab014af2ab4a85224106f903d06c974
CommonContent,Camera Frames,,Gamewisp Camera Frame,Titler3/CommonContent/common/Library/Project Templates/Camera Frames/Gamewisp Camera Frame.nbtitle,thumbs/Titler3/CommonContent/common/Library/Project Templates/Camera Frames/Gamewisp Camera Frame.png,ca2162379d5e5967aa78732168988a5d
CommonContent,Camera Frames,,Goldenrod Camera Frame,Titler3/CommonContent/common/Library/Project Templates/Camera Frames/Goldenrod Camera Frame.nbtitle,thumbs/Titler3/CommonContent/common/Library/Project Templates/Camera Frames/Goldenrod Camera Frame.png,c6ca2967dcd8184065888069723dd34d
CommonContent,Camera Frames,,Hero Camera Frame,Titler3/CommonContent/common/Library/Project Templates/Camera Frames/Hero Camera Frame.nbtitle,thumbs/Titler3/CommonContent/common/Library/Project Templates/Camera Frames/Hero Camera Frame.png,3ba91a465711cf1929358551ce88b94a
CommonContent,Camera Frames,,Hive Camera Frame,Titler3/CommonContent/common/Library/Project Templates/Camera Frames/Hive Camera Frame.nbtitle,thumbs/Titler3/CommonContent/common/Library/Project Templates/Camera Frames/Hive Camera Frame.png,a2eb828e2369f1ebe1e01341e814d9ce
CommonContent,Camera Frames,,Invader Camera Frame,Titler3/CommonContent/common/Library/Project Templates/Camera Frames/Invader Camera Frame.nbtitle,thumbs/Titler3/CommonContent/common/Library/Project Templates/Camera Frames/Invader Camera Frame.png,37766d17b15b7e731d1889cb3509043a
CommonContent,Camera Frames,,Jet Camera Frame,Titler3/CommonContent/common/Library/Project Templates/Camera Frames/Jet Camera Frame.nbtitle,thumbs/Titler3/CommonContent/common/Library/Project Templates/Camera Frames/Jet Camera Frame.png,69c99d13aa754adba6b29645e8cab453
CommonContent,Camera Frames,,Jump Camera Frame,Titler3/CommonContent/common/Library/Project Templates/Camera Frames/Jump Camera Frame.nbtitle,thumbs/Titler3/CommonContent/common/Library/Project Templates/Camera Frames/Jump Camera Frame.png,64db6faf64de3805e980d4a791e245c8
CommonContent,Camera Frames,,Legends Camera Frame,Titler3/CommonContent/common/Library/Project Templates/Camera Frames/Legends Camera Frame.nbtitle,thumbs/Titler3/CommonContent/common/Library/Project Templates/Camera Frames/Legends Camera Frame.png,72ec15d7f662f320e1d6eeea5cac3128
CommonContent,Camera Frames,,Longsha Camera Frame,Titler3/CommonContent/common/Library/Project Templates/Camera Frames/Longsha Camera Frame.nbtitle,thumbs/Titler3/CommonContent/common/Library/Project Templates/Camera Frames/Longsha Camera Frame.png,aea70a7f68d5f5f3707efd5bf4a8699b
CommonContent,Camera Frames,,Meka Camera Frame,Titler3/CommonContent/common/Library/Project Templates/Camera Frames/Meka Camera Frame.nbtitle,thumbs/Titler3/CommonContent/common/Library/Project Templates/Camera Frames/Meka Camera Frame.png,452449d720f19b79a73185eddf9895eb
